Generate Grid,Apply Rules,Update Birds,Gen Render Instances,Clear Grid,Add Instances,Upload instances to GPU,Render Forward,MainLoop,ProfilerPrintTimeStamps,
22317660,1678616,17003461,23025988,4348499,66703378,2212711,600103,105735140,3025120,
22412824,1581195,16718154,22850645,4250967,66240471,1838863,187886,107270844,2903612,
21158931,1683315,16743166,22839952,4089277,64837431,1805859,226329,99759103,3017351,
22192748,1704257,17059775,22834439,4094346,66188597,1717725,199060,136991907,3063601,
22001865,1659894,16793560,22961793,4279124,66043927,1897397,209272,103683916,2767823,
20830112,1668182,16797778,22900965,4139893,64674446,1856179,203019,106283535,3001367,
21980923,1736743,16964537,22892455,4241199,66087698,1865540,201317,103707891,2879489,
22592422,1483663,16538445,22930417,4268431,66336523,1867464,221075,103116927,3044398,
21415156,1745993,17175733,22917097,4396858,65912429,1973765,292004,101628343,2993116,
22063322,1646204,16864378,22813016,4177189,65925379,1950344,237133,143664413,3064563,
21880912,1651199,16828895,22871846,4210822,65799838,1845042,208643,103513864,3144964,
20757481,1652161,16875848,23024175,4067854,64733646,1765899,181115,100692577,3025601,
21170697,1667183,16930682,23070573,4644536,65823111,2195802,396640,103968149,3119138,
21956207,1363598,16366580,23001716,4182998,65514198,1921299,222148,105227037,2972433,
19470547,1669107,16971826,22983956,4169974,63605590,2070631,461464,100351880,3023530,
20819937,1667849,16928277,22968046,4127794,64851195,1962258,235838,136224047,3140301,
20568189,1724274,17073539,22881281,4133973,64665640,1835755,184482,103465023,3057015,
20987991,1573055,16687222,22949472,4106445,64737679,1878194,222703,101871064,3043768,
19913844,1708660,16945408,22918873,3997110,63781266,1667294,186147,98645662,2996372,
20218428,1713248,17274449,22843430,4333033,64678035,1835755,225885,100750556,3049799,
20607039,1573018,16869410,22884907,4221034,64589309,1954895,279350,98933633,3040734,
20454414,1671142,16969125,22914877,4084800,64431097,1799384,231102,136693317,2961296,
20066358,1698855,16983111,22931860,4015055,64004931,1693675,203167,101940439,3123947,
20502551,1561400,16815390,22925977,4070962,64323020,1775667,200318,100955869,3124502,
16836776,1628407,17103250,23153231,4211118,61313107,1839603,200244,96873251,2971101,
19876659,1642467,17054928,22911917,4152399,64003562,1907905,212269,105900217,3407922,
20206699,1755650,17496486,22883797,4463606,65057988,2017388,283753,100446527,2989119,
20894233,1580566,16876736,22827927,4056495,64664456,1641764,186406,135835546,3040475,
19018740,1614717,16971530,22951137,3848740,62796992,1696820,184630,101807535,3011837,
19662133,1669847,17101215,22855751,3922111,63548129,1798163,200170,100241990,3007916,
20026176,1719242,17122564,23019365,3917264,64091807,1527545,185185,99492963,2898729,
18796074,1651532,17165817,22787893,3822803,62583206,1694489,202797,96919983,3077622,
19719446,2154510,18179432,22956465,4033074,64898370,1929476,243053,100938330,2724792,
29006076,2133864,18271747,22927827,4067706,74281089,2016056,248714,145541275,3120655,
18398213,1838567,17287214,22885684,3875491,62453373,1783659,206460,100670968,3250007,
